folder,tr,te,imb,alpha,beta,kproto,K,acc,nll,brier,ece,smooth,t_fit,t_pred,n_train,n_test
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.3_k256,2000,2000,8.0,0.8,0.3,256.0,256.0,0.7565,1.036201,0.399551,0.154145,0.256094,3.96816594,0.42050633,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.3_k32,2000,2000,8.0,0.8,0.3,32.0,32.0,0.6,1.022308,0.679731,0.363527,0.073275,3.52390736,0.08369139,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.3_k512,2000,2000,8.0,0.8,0.3,512.0,512.0,0.73475,1.343073,0.458321,0.206344,0.270531,9.09404752,3.51725935,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.3_k64,2000,2000,8.0,0.8,0.3,64.0,64.0,0.776,0.595383,0.366917,0.142771,0.19182,9.83840824,1.91297524,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.7_k128,2000,2000,8.0,0.8,0.7,128.0,128.0,0.77225,0.753389,0.391783,0.179399,0.264841,3.17108087,2.02974381,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.7_k256,2000,2000,8.0,0.8,0.7,256.0,256.0,0.75875,1.058183,0.420584,0.183657,0.256692,17.26883452,1.73594712,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.7_k32,2000,2000,8.0,0.8,0.7,32.0,32.0,0.589,1.061646,0.712937,0.385959,0.085916,4.21646207,1.09446841,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.7_k512,2000,2000,8.0,0.8,0.7,512.0,512.0,0.73725,1.358526,0.476171,0.219986,0.27276,25.41722473,3.19370955,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.7_k64,2000,2000,8.0,0.8,0.7,64.0,64.0,0.78125,0.635545,0.395963,0.188924,0.1805,5.39204961,1.02628935,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.9_k128,2000,2000,8.0,0.8,0.9,128.0,128.0,0.77225,0.723277,0.403639,0.195653,0.257559,11.48322604,2.45861168,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.9_k256,2000,2000,8.0,0.8,0.9,256.0,256.0,0.75875,1.042903,0.431456,0.193659,0.253434,7.32465232,0.82198423,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.9_k32,2000,2000,8.0,0.8,0.9,32.0,32.0,0.58675,1.080199,0.729875,0.401273,0.092151,3.62984672,0.090218,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.9_k512,2000,2000,8.0,0.8,0.9,512.0,512.0,0.73525,1.345234,0.485858,0.224429,0.271649,9.56208678,2.66388346,2030.0,4000.0
runs_idc_ablate/idc_tr2000_te2000_imb8_a0.8_b0.9_k64,2000,2000,8.0,0.8,0.9,64.0,64.0,0.782,0.641531,0.412069,0.208514,0.170392,5.3469255,1.2081232,2030.0,4000.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.1_k128,5000,5000,1.0,0.1,0.1,128.0,128.0,0.853329,1.033639,0.253313,0.1096,0.440597,95.35549565,0.49822657,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.1_k256,5000,5000,1.0,0.1,0.1,256.0,256.0,0.851076,1.704392,0.267175,0.123115,0.460327,49.81851196,2.52750585,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.1_k32,5000,5000,1.0,0.1,0.1,32.0,32.0,0.852428,0.577528,0.250256,0.102108,0.427991,78.6563935,0.3553719,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.1_k512,5000,5000,1.0,0.1,0.1,512.0,512.0,0.854455,0.81281,0.24062,0.091641,0.41369,70.69539027,3.90840969,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.1_k64,5000,5000,1.0,0.1,0.1,64.0,64.0,0.854005,0.774792,0.248577,0.103123,0.430265,96.22336794,0.46908599,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.2_k128,5000,5000,1.0,0.1,0.2,128.0,128.0,0.853329,1.044852,0.255179,0.111096,0.443287,130.76164611,3.01744429,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.2_k256,5000,5000,1.0,0.1,0.2,256.0,256.0,0.850738,1.709319,0.268216,0.124203,0.461568,59.27969779,0.86019128,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.2_k32,5000,5000,1.0,0.1,0.2,32.0,32.0,0.85254,0.660253,0.261424,0.117518,0.446109,103.83632138,1.09226825,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.2_k512,5000,5000,1.0,0.1,0.2,512.0,512.0,0.854568,0.814322,0.240947,0.092734,0.414935,65.57908762,1.99646101,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.2_k64,5000,5000,1.0,0.1,0.2,64.0,64.0,0.853892,0.824711,0.255573,0.110178,0.441811,84.17283746,1.88185345,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.3_k128,5000,5000,1.0,0.1,0.3,128.0,128.0,0.853441,1.058017,0.256866,0.112841,0.445122,76.37989543,2.76394587,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.3_k256,5000,5000,1.0,0.1,0.3,256.0,256.0,0.850738,1.714136,0.269313,0.124784,0.462524,136.01362153,1.78671155,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.3_k32,5000,5000,1.0,0.1,0.3,32.0,32.0,0.85209,0.696965,0.267826,0.122991,0.455135,161.55811701,1.47045362,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.3_k512,5000,5000,1.0,0.1,0.3,512.0,512.0,0.854681,0.816568,0.241364,0.093655,0.416081,65.81783756,1.89490132,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.3_k64,5000,5000,1.0,0.1,0.3,64.0,64.0,0.853329,0.865923,0.260913,0.116911,0.449674,93.64796318,0.51716349,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.4_k128,5000,5000,1.0,0.1,0.4,128.0,128.0,0.853329,1.070574,0.258175,0.11313,0.446888,95.43031128,2.05637632,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.4_k256,5000,5000,1.0,0.1,0.4,256.0,256.0,0.850625,1.719048,0.270307,0.125541,0.463392,124.10303825,0.67190439,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.4_k32,5000,5000,1.0,0.1,0.4,32.0,32.0,0.851864,0.720633,0.272453,0.127716,0.460521,190.73154206,2.33412272,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.4_k512,5000,5000,1.0,0.1,0.4,512.0,512.0,0.854568,0.818898,0.241904,0.09463,0.417376,85.08886425,4.13384085,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.4_k64,5000,5000,1.0,0.1,0.4,64.0,64.0,0.853104,0.89665,0.26519,0.12189,0.45513,142.24901828,0.88859477,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.5_k128,5000,5000,1.0,0.1,0.5,128.0,128.0,0.85423,1.082751,0.259103,0.116069,0.44837,164.28226222,0.79340042,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.5_k256,5000,5000,1.0,0.1,0.5,256.0,256.0,0.850513,1.724676,0.27126,0.126111,0.464367,95.41291133,1.97131264,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.5_k32,5000,5000,1.0,0.1,0.5,32.0,32.0,0.851752,0.737662,0.276148,0.131852,0.464139,178.44381466,1.19199774,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b0.5_k64,5000,5000,1.0,0.1,0.5,64.0,64.0,0.852428,0.919555,0.268299,0.124311,0.459067,191.74559957,0.70364671,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b1.0_k128,5000,5000,1.0,0.1,1.0,128.0,128.0,0.853104,1.136653,0.263688,0.119884,0.453425,130.7406115,2.08454892,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b1.0_k256,5000,5000,1.0,0.1,1.0,256.0,256.0,0.850513,1.752766,0.275221,0.130839,0.466801,115.14115306,1.55956399,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b1.0_k32,5000,5000,1.0,0.1,1.0,32.0,32.0,0.851639,0.781276,0.285853,0.140463,0.473658,183.16770729,1.52787245,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b1.0_k64,5000,5000,1.0,0.1,1.0,64.0,64.0,0.852202,0.984443,0.277778,0.132988,0.468182,119.85527406,0.45970389,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b1.5_k128,5000,5000,1.0,0.1,1.5,128.0,128.0,0.852991,1.173656,0.267836,0.124136,0.457617,255.58608718,0.58191118,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b1.5_k256,5000,5000,1.0,0.1,1.5,256.0,256.0,0.850738,1.780736,0.277828,0.132481,0.468913,146.07119528,1.78423864,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b1.5_k32,5000,5000,1.0,0.1,1.5,32.0,32.0,0.851639,0.800416,0.290303,0.144381,0.47679,119.8859888,0.19172304,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b1.5_k64,5000,5000,1.0,0.1,1.5,64.0,64.0,0.852202,1.015844,0.282732,0.137402,0.472146,95.90241469,1.64648599,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b2.0_k128,5000,5000,1.0,0.1,2.0,128.0,128.0,0.852878,1.199574,0.271479,0.129263,0.461736,156.43194415,2.85696159,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b2.0_k256,5000,5000,1.0,0.1,2.0,256.0,256.0,0.850513,1.804775,0.280326,0.134987,0.470202,145.59709911,1.1485814,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b2.0_k32,5000,5000,1.0,0.1,2.0,32.0,32.0,0.851639,0.811031,0.292994,0.146647,0.477911,154.20744662,1.76159855,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.1_b2.0_k64,5000,5000,1.0,0.1,2.0,64.0,64.0,0.851639,1.035547,0.286053,0.140469,0.474646,105.61418288,0.90139641,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.1_k128,5000,5000,1.0,0.2,0.1,128.0,128.0,0.853329,0.891496,0.253038,0.109249,0.440035,75.86777604,1.32846121,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.1_k256,5000,5000,1.0,0.2,0.1,256.0,256.0,0.851752,1.475328,0.266901,0.123685,0.459973,144.9786867,1.48603607,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.1_k32,5000,5000,1.0,0.2,0.1,32.0,32.0,0.852653,0.533195,0.248712,0.100238,0.423303,160.86695661,1.99703218,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.1_k512,5000,5000,1.0,0.2,0.1,512.0,512.0,0.854005,0.717372,0.240501,0.091899,0.414019,124.35429396,3.7015143,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.1_k64,5000,5000,1.0,0.2,0.1,64.0,64.0,0.853779,0.681088,0.247792,0.100941,0.428586,117.97182046,1.46149313,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.2_k128,5000,5000,1.0,0.2,0.2,128.0,128.0,0.853329,0.902606,0.254826,0.110581,0.442551,83.74478858,0.64744887,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.2_k256,5000,5000,1.0,0.2,0.2,256.0,256.0,0.851301,1.479483,0.26783,0.123923,0.461007,176.09576977,2.99404497,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.2_k32,5000,5000,1.0,0.2,0.2,32.0,32.0,0.852766,0.586805,0.25878,0.112864,0.439877,133.47540946,2.26301375,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.2_k512,5000,5000,1.0,0.2,0.2,512.0,512.0,0.854343,0.719025,0.240741,0.092671,0.41514,79.64073315,4.97766284,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.2_k64,5000,5000,1.0,0.2,0.2,64.0,64.0,0.854343,0.721103,0.254214,0.109789,0.439276,171.61220148,0.54145348,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.3_k128,5000,5000,1.0,0.2,0.3,128.0,128.0,0.853329,0.913824,0.256399,0.112097,0.444218,94.30756698,1.64554183,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.3_k256,5000,5000,1.0,0.2,0.3,256.0,256.0,0.851076,1.48506,0.268896,0.124219,0.461948,204.98146177,2.87565985,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.3_k32,5000,5000,1.0,0.2,0.3,32.0,32.0,0.85254,0.611068,0.264542,0.12025,0.448137,154.90125458,1.5307005,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.3_k512,5000,5000,1.0,0.2,0.3,512.0,512.0,0.854681,0.721042,0.241168,0.094027,0.416198,74.1155893,4.11350164,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.3_k64,5000,5000,1.0,0.2,0.3,64.0,64.0,0.853554,0.750524,0.259218,0.115481,0.44674,126.41406896,2.10477876,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.4_k128,5000,5000,1.0,0.2,0.4,128.0,128.0,0.853779,0.924294,0.257501,0.112844,0.44565,87.72992256,0.47388462,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.4_k256,5000,5000,1.0,0.2,0.4,256.0,256.0,0.851076,1.489973,0.269822,0.125645,0.462756,161.35066099,2.70190403,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.4_k32,5000,5000,1.0,0.2,0.4,32.0,32.0,0.85209,0.626751,0.268765,0.123653,0.453014,102.12498516,1.71984743,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.4_k512,5000,5000,1.0,0.2,0.4,512.0,512.0,0.854793,0.722917,0.241609,0.095286,0.417195,95.28027447,6.15544421,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.4_k64,5000,5000,1.0,0.2,0.4,64.0,64.0,0.853329,0.771414,0.263156,0.119394,0.451774,213.07706087,0.80664434,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.5_k128,5000,5000,1.0,0.2,0.5,128.0,128.0,0.854005,0.934268,0.258365,0.114779,0.447025,92.04012717,0.47177514,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.5_k256,5000,5000,1.0,0.2,0.5,256.0,256.0,0.850738,1.494545,0.270613,0.125994,0.463437,127.56460785,0.94309684,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.5_k32,5000,5000,1.0,0.2,0.5,32.0,32.0,0.851977,0.637834,0.272113,0.127279,0.456254,98.5916512,0.95022468,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b0.5_k64,5000,5000,1.0,0.2,0.5,64.0,64.0,0.85254,0.786992,0.266027,0.121865,0.455448,199.0473349,0.97285084,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b1.0_k128,5000,5000,1.0,0.2,1.0,128.0,128.0,0.852766,0.973304,0.262282,0.117868,0.451219,76.39444124,0.62506601,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b1.0_k256,5000,5000,1.0,0.2,1.0,256.0,256.0,0.850625,1.521243,0.274543,0.130293,0.465924,193.77271589,1.99334007,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b1.0_k32,5000,5000,1.0,0.2,1.0,32.0,32.0,0.851752,0.666205,0.280948,0.135529,0.4648,255.40592522,1.56175502,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b1.0_k64,5000,5000,1.0,0.2,1.0,64.0,64.0,0.852315,0.830074,0.27487,0.130466,0.46384,151.50882855,2.44343584,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b1.5_k128,5000,5000,1.0,0.2,1.5,128.0,128.0,0.853216,0.998382,0.265995,0.122601,0.454901,118.12004472,2.21733943,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b1.5_k256,5000,5000,1.0,0.2,1.5,256.0,256.0,0.850963,1.543176,0.276888,0.132233,0.467644,91.42210505,2.69015055,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b1.5_k32,5000,5000,1.0,0.2,1.5,32.0,32.0,0.851752,0.678939,0.285086,0.139564,0.467585,133.50680925,1.57833527,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b1.5_k64,5000,5000,1.0,0.2,1.5,64.0,64.0,0.852428,0.850706,0.279448,0.135027,0.467403,230.47555222,2.58730941,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b2.0_k128,5000,5000,1.0,0.2,2.0,128.0,128.0,0.852991,1.016145,0.268999,0.126969,0.458325,266.84079564,3.29461053,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b2.0_k256,5000,5000,1.0,0.2,2.0,256.0,256.0,0.850513,1.562344,0.279142,0.133614,0.468755,213.88963839,3.27085137,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b2.0_k32,5000,5000,1.0,0.2,2.0,32.0,32.0,0.851639,0.686233,0.287621,0.141918,0.468532,164.57932756,1.96611486,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.2_b2.0_k64,5000,5000,1.0,0.2,2.0,64.0,64.0,0.851752,0.86373,0.282477,0.137657,0.469599,122.7306959,2.78219241,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.01_k128,5000,5000,1.0,0.4,0.01,128.0,128.0,0.853779,0.718677,0.250292,0.106521,0.435564,82.06238831,0.53832359,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.01_k256,5000,5000,1.0,0.4,0.01,256.0,256.0,0.851752,1.152211,0.265017,0.121829,0.457251,61.77655454,0.83377488,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.01_k32,5000,5000,1.0,0.4,0.01,32.0,32.0,0.853216,0.400583,0.229468,0.051081,0.34514,88.21324503,0.27052734,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.01_k512,5000,5000,1.0,0.4,0.01,512.0,512.0,0.853892,0.611912,0.239939,0.092004,0.413649,75.47578917,4.74190268,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.01_k64,5000,5000,1.0,0.4,0.01,64.0,64.0,0.854005,0.542746,0.239353,0.091813,0.409174,91.26900976,2.05220638,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.1_k128,5000,5000,1.0,0.4,0.1,128.0,128.0,0.853441,0.72587,0.251836,0.108056,0.437676,95.23281198,1.93838352,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.1_k256,5000,5000,1.0,0.4,0.1,256.0,256.0,0.851977,1.155538,0.265607,0.122625,0.458043,157.76142024,2.5230086,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.1_k32,5000,5000,1.0,0.4,0.1,32.0,32.0,0.852653,0.472454,0.244954,0.091546,0.410423,94.73449332,2.14379168,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.1_k512,5000,5000,1.0,0.4,0.1,512.0,512.0,0.853779,0.613374,0.240213,0.09267,0.414492,112.67364779,5.20506543,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.1_k64,5000,5000,1.0,0.4,0.1,64.0,64.0,0.853667,0.570283,0.245509,0.097332,0.423145,200.73716249,1.88534332,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.2_k128,5000,5000,1.0,0.4,0.2,128.0,128.0,0.853441,0.73455,0.25349,0.109396,0.439873,95.29165608,0.60256468,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.2_k256,5000,5000,1.0,0.4,0.2,256.0,256.0,0.851639,1.15992,0.266395,0.123066,0.458988,89.81850594,2.55656429,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.2_k32,5000,5000,1.0,0.4,0.2,32.0,32.0,0.85209,0.50049,0.252891,0.102528,0.423952,124.96344428,1.77919147,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.2_k512,5000,5000,1.0,0.4,0.2,512.0,512.0,0.853667,0.614847,0.240503,0.093392,0.415446,133.18049503,4.53247382,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.2_k64,5000,5000,1.0,0.4,0.2,64.0,64.0,0.854005,0.595129,0.250722,0.10453,0.432139,204.06107757,0.62299112,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.3_k128,5000,5000,1.0,0.4,0.3,128.0,128.0,0.853554,0.742542,0.254778,0.110239,0.441018,88.31856526,0.60591572,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.3_k256,5000,5000,1.0,0.4,0.3,256.0,256.0,0.851639,1.164397,0.267549,0.124312,0.45995,55.48902044,2.19939897,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.3_k32,5000,5000,1.0,0.4,0.3,32.0,32.0,0.852653,0.513227,0.257339,0.109134,0.430569,84.07438131,0.56015655,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.3_k512,5000,5000,1.0,0.4,0.3,512.0,512.0,0.853779,0.616684,0.240846,0.093743,0.416238,66.31294046,1.47425066,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.3_k64,5000,5000,1.0,0.4,0.3,64.0,64.0,0.852766,0.61108,0.254766,0.108893,0.438382,98.75493467,2.31048714,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.4_k128,5000,5000,1.0,0.4,0.4,128.0,128.0,0.854117,0.749399,0.255616,0.111726,0.442043,79.55315467,2.64855378,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.4_k256,5000,5000,1.0,0.4,0.4,256.0,256.0,0.851526,1.168303,0.268206,0.124675,0.460376,151.6800956,1.0258564,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.4_k32,5000,5000,1.0,0.4,0.4,32.0,32.0,0.852428,0.52147,0.260642,0.113298,0.434339,89.29675351,0.16828334,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.4_k512,5000,5000,1.0,0.4,0.4,512.0,512.0,0.853779,0.618084,0.241146,0.094062,0.416862,212.62086061,4.99953463,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.4_k64,5000,5000,1.0,0.4,0.4,64.0,64.0,0.852991,0.622091,0.257968,0.113816,0.442558,209.62157784,2.83824643,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.5_k128,5000,5000,1.0,0.4,0.5,128.0,128.0,0.853441,0.754802,0.256305,0.11076,0.443078,115.2715741,2.26500909,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.5_k256,5000,5000,1.0,0.4,0.5,256.0,256.0,0.851188,1.172369,0.268899,0.125744,0.460962,47.81179806,0.78676814,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.5_k32,5000,5000,1.0,0.4,0.5,32.0,32.0,0.852428,0.527374,0.26331,0.116096,0.436741,124.78539518,0.17919052,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.5_k64,5000,5000,1.0,0.4,0.5,64.0,64.0,0.853329,0.629883,0.260253,0.116906,0.445535,169.84902877,1.86833845,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.7_k128,5000,5000,1.0,0.4,0.7,128.0,128.0,0.85423,0.765405,0.257508,0.113959,0.444351,77.36287211,1.87368733,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.7_k256,5000,5000,1.0,0.4,0.7,256.0,256.0,0.850851,1.180641,0.270236,0.126066,0.462084,125.44005457,2.72569427,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.7_k32,5000,5000,1.0,0.4,0.7,32.0,32.0,0.85254,0.535542,0.267129,0.120809,0.440073,102.26217277,0.19323761,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.7_k512,5000,5000,1.0,0.4,0.7,512.0,512.0,0.853892,0.623606,0.242538,0.096471,0.4188,79.88788101,2.388523,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.7_k64,5000,5000,1.0,0.4,0.7,64.0,64.0,0.852766,0.641557,0.263816,0.12025,0.449443,114.25143964,0.66835128,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.9_k128,5000,5000,1.0,0.4,0.9,128.0,128.0,0.853329,0.773206,0.258648,0.113161,0.445452,200.33507571,2.81755176,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.9_k256,5000,5000,1.0,0.4,0.9,256.0,256.0,0.850738,1.188552,0.271544,0.127101,0.462759,116.25439965,2.95566978,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.9_k32,5000,5000,1.0,0.4,0.9,32.0,32.0,0.852428,0.540581,0.269476,0.123338,0.442357,126.86938048,0.32732326,9000.0,8877.0
runs_idc_ablate/idc_tr5000_te5000_imb1_a0.4_b0.9_k512,5000,5000,1.0,0.4,0.9,512.0,512.0,0.854455,0.627776,0.243457,0.098957,0.419874,131.44027071,2.79822202,9000.0,8877.0
